# -*- ck2.landed_titles -*-

# HOLY ORDERS
d_knights_templar = { # Knights Templar
	color = { 230 230 230 }
			prussian = "Viipurii"
			lettigallish = "Viipurii"
			lithuanian = "Viipurii"
			russian = "Vyborg"
			c_viipuri = { # Viipuri (1296)
				color = { 125 15 15 }
				color2 = { 255 255 255 }
				holy_site = finnish_pagan
				holy_site = finnish_pagan_reformed
				b_virolahti = {
					mordvin = "Virolahti"
					karelian = "Virolahti"
					samoyed = "Virolahti"
					vepsian = "Virolahti"
					mari = "Virolahti"
					khanty = "Virolahti"
					lappish = "Virolahti"
					komi = "Virolahti"
					finnish = "Virolahti"
					ugricbaltic = "Virolahti"
					livonian = "Virolahti"
					prussian = "Virolahti"
					lettigallish = "Virolahti"
					lithuanian = "Virolahti"
					russian = "Virolahti"
				}
				b_koivisto = {
					mordvin = "Koivisto"
					karelian = "Koivisto"
					samoyed = "Koivisto"
					vepsian = "Koivisto"
					mari = "Koivisto"
					khanty = "Koivisto"
					lappish = "Koivisto"
					komi = "Koivisto"
					finnish = "Koivisto"
					ugricbaltic = "Koivisto"
					livonian = "Koivisto"
					prussian = "Koivisto"
					lettigallish = "Koivisto"
					lithuanian = "Koivisto"
					russian = "Beryozovskoye"
				}
				b_viipuri = {
					mordvin = "Viipurii"
					karelian = "Viipurii"
					samoyed = "Viipurii"
					vepsian = "Viipurii"
					mari = "Viipurii"
					khanty = "Viipurii"
					lappish = "Viipurii"
					komi = "Viipurii"
					finnish = "Viipurii"
					ugricbaltic = "Viipurii"
					livonian = "Viipurii"
					prussian = "Viipurii"
					lettigallish = "Viipurii"
					lithuanian = "Viipurii"
					russian = "Vyborg"
				}
				#b_uuras = {
				#	mordvin = "Uuras"
				#	karelian = "Uuras"
				#	samoyed = "Uuras"
				#	vepsian = "Uuras"
				#	mari = "Uuras"
				#	khanty = "Uuras"
				#	lappish = "Uuras"
				#	komi = "Uuras"
				#	finnish = "Uuras"
				#	ugricbaltic = "Uuras"
				#	livonian = "Uuras"
				#	prussian = "Uuras"
				#	lettigallish = "Uuras"
				#	lithuanian = "Uuras"
				#	russian = "Vysotsk"
				#}
				#b_raivola = { russian = "Roshchino" }
			} # end c_viipuri
			c_kexholm = { # Kexholm (392)
				color = { 185 70 70 }
				color2 = { 255 255 255 }
				mordvin = "Käkisalmi"
				karelian = "Käkisalmi"
				samoyed = "Käkisalmi"
				vepsian = "Käkisalmi"
				mari = "Käkisalmi"
				khanty = "Käkisalmi"
				lappish = "Käkisalmi"
				komi = "Käkisalmi"
				finnish = "Käkisalmi"
				ugricbaltic = "Käkisalmi"
				livonian = "Käkisalmi"
				prussian = "Käkisalmi"
				lettigallish = "Käkisalmi"
				lithuanian = "Käkisalmi"
				russian = "Korela"
				b_nurmes = {}
				b_sortavala = {
					mordvin = "Sortavala"
					karelian = "Sortavala"
					samoyed = "Sortavala"
					vepsian = "Sortavala"
					mari = "Sortavala"
					khanty = "Sortavala"
					lappish = "Sortavala"
					komi = "Sortavala"
					finnish = "Sortavala"
					ugricbaltic = "Sortavala"
					livonian = "Sortavala"
					prussian = "Sortavala"
					lettigallish = "Sortavala"
					lithuanian = "Sortavala"
					russian = "Serdovol"
				}
				b_kakisalmi = {
					mordvin = "Käkisalmi"
					karelian = "Käkisalmi"
					samoyed = "Käkisalmi"
					vepsian = "Käkisalmi"
					mari = "Käkisalmi"
					khanty = "Käkisalmi"
					lappish = "Käkisalmi"
					komi = "Käkisalmi"
					finnish = "Käkisalmi"
					ugricbaltic = "Käkisalmi"
					livonian = "Käkisalmi"
					prussian = "Käkisalmi"
					lettigallish = "Käkisalmi"
					lithuanian = "Käkisalmi"
					russian = "Korela"
				}
				#b_viensuu = {}
				#b_lieksa = {}
			} # end c_kexholm
		} # end d_viipuri
		d_norrland = { # Norrland
			color = { 131 108 26 }
			color2 = { 255 255 255 }
			norwegian = "Kænlandi"
			norse = "Kænlandi"
			saxon = "Cwenaland"
			mordvin = "Norlanti"
			karelian = "Norlanti"
			samoyed = "Norlanti"
			vepsian = "Norlanti"
			mari = "Norlanti"
			khanty = "Norlanti"
			lappish = "Norlanti"
			komi = "Norlanti"
			finnish = "Norlanti"
			ugricbaltic = "Norlanti"
			livonian = "Norlanti"
			prussian = "Norlanti"
			lettigallish = "Norlanti"
			lithuanian = "Norlanti"
			capital = 385 # Österbotten # Osterbotten
			culture = lappish
			c_vasterbotten = { # Norrland (280)
				color = { 15 105 205 }
				color2 = { 255 255 255 }
				mordvin = "Norlanti"
				karelian = "Norlanti"
				samoyed = "Norlanti"
				vepsian = "Norlanti"
				mari = "Norlanti"
				khanty = "Norlanti"
				lappish = "Norlanti"
				komi = "Norlanti"
				finnish = "Norlanti"
				ugricbaltic = "Norlanti"
				livonian = "Norlanti"
				prussian = "Norlanti"
				lettigallish = "Norlanti"
				lithuanian = "Norlanti"
				b_tornea = {}
				b_kalix = {}
				b_umea = {}
				#b_lulea = {}
				#b_pitea = {}
				#b_lovanger = {
				#	norwegian = "Løvånger"
				#	danish = "Løvånger"
				#}
				#b_skelleftea = {}
				#b_bygdea = {}
			}
			c_osterbotten = { # Österbotten (385)
				color = { 152 66 66 }
				color2 = { 255 255 255 }
				mordvin = "Pohjanmaa"
				karelian = "Pohjanmaa"
				samoyed = "Pohjanmaa"
				vepsian = "Pohjanmaa"
				mari = "Pohjanmaa"
				khanty = "Pohjanmaa"
				lappish = "Pohjanmaa"
				komi = "Pohjanmaa"
				finnish = "Pohjanmaa"
				ugricbaltic = "Pohjanmaa"
				livonian = "Pohjanmaa"
				prussian = "Pohjanmaa"
				lettigallish = "Pohjanmaa"
				lithuanian = "Pohjanmaa"
				b_veteli = {}
				b_nykarleby = {}
				b_oulu = {}
				#b_jakobstad = {}
				#b_kalajoki = {}
				#b_liminka = {}
				#b_korsholm = {}
				#b_kristinestad = {}
			}
			c_kemi = { # Kvänland (386)
				color = { 130 65 55 }
				color2 = { 255 255 255 }
				norwegian = "Kænlandi"
				norse = "Kænlandi"
				saxon = "Cwenaland"
				mordvin = "Kainuu"
				karelian = "Kainuu"
				samoyed = "Kainuu"
				vepsian = "Kainuu"
				mari = "Kainuu"
				khanty = "Kainuu"
				lappish = "Kainuu"
				komi = "Kainuu"
				finnish = "Kainuu"
				ugricbaltic = "Kainuu"
				livonian = "Kainuu"
				prussian = "Kainuu"
				lettigallish = "Kainuu"
				lithuanian = "Kainuu"
				b_savukoski = {}
				b_tornio = {}
				#b_utsjoki = {}
				#b_kemijarvi = {}
				#b_inari = {}
				#b_rovaniemi = {}
				#b_neiden = {}
				#b_kemi = {}
			}
		} # end d_norrland
		d_karelia = { # Karelia
			color = { 208 191 5 }
			color2 = { 255 255 255 }
			danish = "Kirialaland"
			swedish = "Kirialaland"
			anglonorse = "Kirialaland"
			gothic = "Kirialaland"
			norwegian = "Kirialaland"
			norse = "Kirialaland"
			saxon = "Kirialaland"
			capital = 387 # Olonec
			culture = karelian
			c_kola = { # Olonec (387)
				color = { 135 60 60 }
				color2 = { 255 255 255 }
				b_kizhi = {}
				b_valaam = {}
				b_olonec = {}
			}
			c_karelen = { # Karjala (388)
				color = { 135 25 25 }
				color2 = { 255 255 255 }
				b_solovetsky = {}
				b_kem = {}
				#b_karhumaki = {}
			}
			c_trans-portage = { # Pomorye (394)
				color = { 103 118 58 }
				color2 = { 255 255 255 }
				b_spasskij = {}
				b_belomorsk = {
					mordvin = "Šuomua"
					karelian = "Šuomua"
					samoyed = "Šuomua"
					vepsian = "Šuomua"
					mari = "Šuomua"
					khanty = "Šuomua"
					lappish = "Šuomua"
					komi = "Šuomua"
					finnish = "Šuomua"
					ugricbaltic = "Šuomua"
					livonian = "Šuomua"
				}
			}
			c_kandalax = { # Kantalahti (850)
				color = { 135 60 60 }
				color2 = { 255 255 255 }
				b_varzuga = {}
				b_kantalahti = {}
				#b_umba = {}
			}
		} # end d_karelia
		d_ingria = { # Ingria
			color = { 66 71 112 }
			color2 = { 255 255 255 }
			capital = 411 # Ingria # Vodi
			culture = karelian
			c_vodi = { # Ingria (411)
				color = { 113 0 0 }
				color2 = { 255 255 255 }
				b_kolin = {}
				b_noteborg = {}
				b_nyen = {}
				#b_toksovo = {}
			}
			c_koporje = { # Koporje (1268)
				color = { 185 70 70 }
				color2 = { 255 255 255 }
				b_khotchino = {}
				b_ivanovskaya = {}
				b_koporje = {}
				#b_kingisepp = {}
			}
		}
		allow = { title_king_basic_allow = yes }
	} # end k_finland
	# END k_finland
	k_perm = { # Perym
		color = { 63 102 207 }
		color2 = { 255 255 255 }
		finnish_pagan_reformed = 500 # Crusade target weight
		slavic_pagan_reformed = 100 # Crusade target weight
		tengri_pagan_reformed = 50
		culture = komi
		capital = 886 # Viser # Perm
		prussian = "Didžioji Permé"
		lettigallish = "Didžioji Permé"
		lithuanian = "Didžioji Permé"
		russian = "Perm' Velikaya"
		polish = "Wielki Perm"
		bohemian = "Velká Perm"
		pommeranian = "Wielki Perm"
		moravian = "Velká Perm"
		serbian = "Perm' Velikaya"
		croatian = "Perm' Velikaya"
		bulgarian = "Perm' Velikaya"
		karantanci = "Perm' Velikaya"
		bosnian = "Perm' Velikaya"
		d_perm = { # Perym
			color = { 91 127 2 }
			color2 = { 255 255 255 }
			capital = 886 # Viser # Perm
			culture = komi
			prussian = "Permé"
			lettigallish = "Permé"
			lithuanian = "Permé"
			russian = "Perm'"
			polish = "Perm"
			bohemian = "Perm"
			pommeranian = "Perm"
			moravian = "Perm"
			serbian = "Perm"
			croatian = "Perm"
			bulgarian = "Perm"
			karantanci = "Perm"
			bosnian = "Perm"
			c_perm = { # Viser (886) # Višera
				color = { 237 211 140 }
				color2 = { 255 255 255 }
				holy_site = finnish_pagan
				holy_site = finnish_pagan_reformed
				khanty = "Pasar"
				russian = "Višera"
				polish = "Višera"
				bohemian = "Višera"
				pommeranian = "Višera"
				moravian = "Višera"
				serbian = "Višera"
				croatian = "Višera"
				bulgarian = "Višera"
				karantanci = "Višera"
				bosnian = "Višera"
				b_uros = {}
				b_solikamsk = {
					russian = "Usolye-na-Kamskom"
					polish = "Usolye-na-Kamskom"
					bohemian = "Usolye-na-Kamskom"
					pommeranian = "Usolye-na-Kamskom"
					moravian = "Usolye-na-Kamskom"
					serbian = "Usolye-na-Kamskom"
					croatian = "Usolye-na-Kamskom"
					bulgarian = "Usolye-na-Kamskom"
					karantanci = "Usolye-na-Kamskom"
					bosnian = "Usolye-na-Kamskom"
				}
				b_iskor = {}
				b_cherdyn = {
					khazar = "Çärdän"
					pecheneg = "Çärdän"
					oghuz = "Çärdän"
					turkmen = "Çärdän"
					kasogi = "Çärdän"
					avar = "Çärdän"
					bashkir = "Çärdän"
					karluk = "Çärdän"
					mongol = "Çärdän"
					cuman = "Çärdän"
					kirghiz = "Çärdän"
					bolghar = "Çärdän"
					uyghur = "Çärdän"
					turkish = "Çärdän"
					russian = "Cherdyn"
					polish = "Cherdyn"
					bohemian = "Cherdyn"
					pommeranian = "Cherdyn"
					moravian = "Cherdyn"
					serbian = "Cherdyn"
					croatian = "Cherdyn"
					bulgarian = "Cherdyn"
					karantanci = "Cherdyn"
					bosnian = "Cherdyn"
				}
				b_pokcha = {
					khazar = "Pokça"
					pecheneg = "Pokça"
					oghuz = "Pokça"
					turkmen = "Pokça"
					kasogi = "Pokça"
					avar = "Pokça"
					bashkir = "Pokça"
					karluk = "Pokça"
					mongol = "Pokça"
					cuman = "Pokça"
					kirghiz = "Pokça"
					bolghar = "Pokça"
					uyghur = "Pokça"
					turkish = "Pokça"
				}
			} # end c_perm
			c_votyaki = { # Otš (612) # Izh
				color = { 197 162 67 }
				color2 = { 255 255 255 }
				russian = "Iž"
				polish = "Iž"
				bohemian = "Iž"
				pommeranian = "Iž"
				moravian = "Iž"
				serbian = "Iž"
				croatian = "Iž"
				bulgarian = "Iž"
				karantanci = "Iž"
				bosnian = "Iž"
				khazar = "Ij"
				pecheneg = "Ij"
				oghuz = "Ij"
				turkmen = "Ij"
				kasogi = "Ij"
				avar = "Ij"
				bashkir = "Ij"
				karluk = "Ij"
				mongol = "Ij"
				cuman = "Ij"
				kirghiz = "Ij"
				bolghar = "Ij"
				uyghur = "Ij"
				turkish = "Ij"
				b_izhevsk = {}
				b_sarapul = {}
			}
			c_komi = { # Inva (888)
				color = { 197 162 67 }
				color2 = { 255 255 255 }
				b_kudymkar = {
					russian = "Kudymkar"
					polish = "Kudymkar"
					bohemian = "Kudymkar"
					pommeranian = "Kudymkar"
					moravian = "Kudymkar"
					serbian = "Kudymkar"
					croatian = "Kudymkar"
					bulgarian = "Kudymkar"
					karantanci = "Kudymkar"
					bosnian = "Kudymkar"
				}
			}
		} # end d_perm
		d_vyatka = { # Vice
			color = { 134 102 207 }
			color2 = { 255 255 255 }
			capital = 401 # Vice # Hlynov(Vyatka)
			culture = mari
			russian = "Vyatka"
			polish = "Vyatka"
			bohemian = "Vyatka"
			pommeranian = "Vyatka"
			moravian = "Vyatka"
			serbian = "Vyatka"
			croatian = "Vyatka"
			bulgarian = "Vyatka"
			karantanci = "Vyatka"
			bosnian = "Vyatka"
			khazar = "Nukhrat"
			pecheneg = "Noqrat"
			oghuz = "Noqrat"
			turkmen = "Noqrat"
			kasogi = "Noqrat"
			avar = "Nukhrat"
			bashkir = "Noqrat"
			karluk = "Noqrat"
			mongol = "Noqrat"
			cuman = "Noqrat"
			kirghiz = "Noqrat"
			bolghar = "Nukhrat"
			uyghur = "Noqrat"
			turkish = "Noqrat"
			c_hlynov = { # Vice (401) # Vyatka
				color = { 116 131 71 }
				color2 = { 255 255 255 }
				russian = "Vyatka"
				polish = "Vyatka"
				bohemian = "Vyatka"
				pommeranian = "Vyatka"
				moravian = "Vyatka"
				serbian = "Vyatka"
				croatian = "Vyatka"
				bulgarian = "Vyatka"
				karantanci = "Vyatka"
				bosnian = "Vyatka"
				khazar = "Nukhrat"
				pecheneg = "Noqrat"
				oghuz = "Noqrat"
				turkmen = "Noqrat"
				kasogi = "Noqrat"
				avar = "Nukhrat"
				bashkir = "Noqrat"
				karluk = "Noqrat"
				mongol = "Noqrat"
				cuman = "Noqrat"
				kirghiz = "Noqrat"
				bolghar = "Nukhrat"
				uyghur = "Noqrat"
				turkish = "Noqrat"
				holy_site = finnish_pagan
				holy_site = finnish_pagan_reformed
				b_kotelnich = {
					russian = "Kokšarova"
					polish = "Kokšarova"
					bohemian = "Kokšarova"
					pommeranian = "Kokšarova"
					moravian = "Kokšarova"
					serbian = "Kokšarova"
					croatian = "Kokšarova"
					bulgarian = "Kokšarova"
					karantanci = "Kokšarova"
					bosnian = "Kokšarova"
				}
				b_kaigorod = {
					russian = "Kaigorod"
					polish = "Kaigorod"
					bohemian = "Kaigorod"
					pommeranian = "Kaigorod"
					moravian = "Kaigorod"
					serbian = "Kaigorod"
					croatian = "Kaigorod"
					bulgarian = "Kaigorod"
					karantanci = "Kaigorod"
					bosnian = "Kaigorod"
				}
				b_bolvansky = {
					russian = "Bolvansky"
					polish = "Bolvansky"
					bohemian = "Bolvansky"
					pommeranian = "Bolvansky"
					moravian = "Bolvansky"
					serbian = "Bolvansky"
					croatian = "Bolvansky"
					bulgarian = "Bolvansky"
					karantanci = "Bolvansky"
					bosnian = "Bolvansky"
				}
				b_kirov = {
					russian = "Khlynov"
					polish = "Khlynov"
					bohemian = "Khlynov"
					pommeranian = "Khlynov"
					moravian = "Khlynov"
					serbian = "Khlynov"
					croatian = "Khlynov"
					bulgarian = "Khlynov"
					karantanci = "Khlynov"
					bosnian = "Khlynov"
					khazar = "Hilin"
					pecheneg = "Hilin"
					oghuz = "Hilin"
					turkmen = "Hilin"
					kasogi = "Hilin"
					avar = "Hilin"
					bashkir = "Hilin"
					karluk = "Hilin"
					mongol = "Hilin"
					cuman = "Hilin"
					kirghiz = "Hilin"
					bolghar = "Hilin"
					uyghur = "Hilin"
					turkish = "Hilin"
				}
			} # end c_hlynov
			c_merya = { # Šošma (588)
				color = { 234 174 13 }
				color2 = { 255 255 255 }
				khazar = "Shushma"
				pecheneg = "Shushma"
				oghuz = "Shushma"
				turkmen = "Shushma"
				kasogi = "Shushma"
				avar = "Shushma"
				bashkir = "Shushma"
				karluk = "Shushma"
				mongol = "Shushma"
				cuman = "Shushma"
				kirghiz = "Shushma"
				bolghar = "Shushma"
				uyghur = "Shushma"
				turkish = "Shushma"
				b_urzhum = {
					russian = "Urzhum"
					polish = "Urzhum"
					bohemian = "Urzhum"
					pommeranian = "Urzhum"
					moravian = "Urzhum"
					serbian = "Urzhum"
					croatian = "Urzhum"
					bulgarian = "Urzhum"
					karantanci = "Urzhum"
					bosnian = "Urzhum"
				}
				b_porec_shoshma = {}
				b_malmyzh = {
					khazar = "Malmash"
					pecheneg = "Malmash"
					oghuz = "Malmash"
					turkmen = "Malmash"
					kasogi = "Malmash"
					avar = "Malmash"
					bashkir = "Malmash"
					karluk = "Malmash"
					mongol = "Malmash"
					cuman = "Malmash"
					kirghiz = "Malmash"
					bolghar = "Malmash"
					uyghur = "Malmash"
					turkish = "Malmash"
				}
			} # end c_merya
			c_grassland_cheremisa = { # Vütla (589) # Vetluga
				color = { 231 171 10 }
				color2 = { 255 255 255 }
				russian = "Vetluga"
				polish = "Vetluga"
				bohemian = "Vetluga"
				pommeranian = "Vetluga"
				moravian = "Vetluga"
				serbian = "Vetluga"
				croatian = "Vetluga"
				bulgarian = "Vetluga"
				karantanci = "Vetluga"
				bosnian = "Vetluga"
				b_staro_shangskoye = {
					russian = "Shangskoye"
					polish = "Shangskoye"
					bohemian = "Shangskoye"
					pommeranian = "Shangskoye"
					moravian = "Shangskoye"
					serbian = "Shangskoye"
					croatian = "Shangskoye"
					bulgarian = "Shangskoye"
					karantanci = "Shangskoye"
					bosnian = "Shangskoye"
				}
				b_kazhirovo = {
					russian = "Kazhirovo"
					polish = "Kazhirovo"
					bohemian = "Kazhirovo"
					pommeranian = "Kazhirovo"
					moravian = "Kazhirovo"
					serbian = "Kazhirovo"
					croatian = "Kazhirovo"
					bulgarian = "Kazhirovo"
					karantanci = "Kazhirovo"
					bosnian = "Kazhirovo"
				}
				b_vetluga = {
					russian = "Vetluga"
					polish = "Vetluga"
					bohemian = "Vetluga"
					pommeranian = "Vetluga"
					moravian = "Vetluga"
					serbian = "Vetluga"
					croatian = "Vetluga"
					bulgarian = "Vetluga"
					karantanci = "Vetluga"
					bosnian = "Vetluga"
				}
			} # end c_grassland_cheremisa
			c_kokshaga = { # Kakšan (1831) # Kokšaga
				color = { 10 67 16 }
				color2 = { 255 255 255 }
				khazar = "Kaksha"
				pecheneg = "Kaksha"
				oghuz = "Kaksha"
				turkmen = "Kaksha"
				kasogi = "Kaksha"
				avar = "Kaksha"
				bashkir = "Kaksha"
				karluk = "Kaksha"
				mongol = "Kaksha"
				cuman = "Kaksha"
				kirghiz = "Kaksha"
				bolghar = "Kaksha"
				uyghur = "Kaksha"
				turkish = "Kaksha"
				russian = "Kokšaga"
				polish = "Kokšaga"
				bohemian = "Kokšaga"
				pommeranian = "Kokšaga"
				moravian = "Kokšaga"
				serbian = "Kokšaga"
				croatian = "Kokšaga"
				bulgarian = "Kokšaga"
				karantanci = "Kokšaga"
				bosnian = "Kokšaga"
				b_yoshkar_ola = {
					khazar = "Kaksha-Jük"
					pecheneg = "Kaksha-Jük"
					oghuz = "Kaksha-Jük"
					turkmen = "Kaksha-Jük"
					kasogi = "Kaksha-Jük"
					avar = "Kaksha-Jük"
					bashkir = "Kaksha-Jük"
					karluk = "Kaksha-Jük"
					mongol = "Kaksha-Jük"
					cuman = "Kaksha-Jük"
					kirghiz = "Kaksha-Jük"
					bolghar = "Kaksha-Jük"
					uyghur = "Kaksha-Jük"
					turkish = "Kaksha-Jük"
					russian = "Malaya Kokšaga"
					polish = "Malaya Kokšaga"
					bohemian = "Malaya Kokšaga"
					pommeranian = "Malaya Kokšaga"
					moravian = "Malaya Kokšaga"
					serbian = "Malaya Kokšaga"
					croatian = "Malaya Kokšaga"
					bulgarian = "Malaya Kokšaga"
					karantanci = "Malaya Kokšaga"
					bosnian = "Malaya Kokšaga"
				}
				b_kokshaysk = {
					khazar = "Kaksha"
					pecheneg = "Kaksha"
					oghuz = "Kaksha"
					turkmen = "Kaksha"
					kasogi = "Kaksha"
					avar = "Kaksha"
					bashkir = "Kaksha"
					karluk = "Kaksha"
					mongol = "Kaksha"
					cuman = "Kaksha"
					kirghiz = "Kaksha"
					bolghar = "Kaksha"
					uyghur = "Kaksha"
					turkish = "Kaksha"
					russian = "Kokšaysk"
					polish = "Kokšaysk"
					bohemian = "Kokšaysk"
					pommeranian = "Kokšaysk"
					moravian = "Kokšaysk"
					serbian = "Kokšaysk"
					croatian = "Kokšaysk"
					bulgarian = "Kokšaysk"
					karantanci = "Kokšaysk"
					bosnian = "Kokšaysk"
				}
			} # end c_kokshaga
		} # end d_vyatka
		d_pelym = { # Polum # Pelym/Polum
			color = { 191 57 32 }
			color2 = { 255 255 255 }
			culture = khanty
			capital = 892 # Polum # Pelym
			russian = "Pelym"
			polish = "Pelym"
			bohemian = "Pelym"
			pommeranian = "Pelym"
			moravian = "Pelym"
			serbian = "Pelym"
			croatian = "Pelym"
			bulgarian = "Pelym"
